,name,1P,2P,ML
0,DZ-1NF,10.228818690495881,203.03401119090938,213.26282988140525
1,DZ-2NF,36.47109091704516,154.84894595737364,191.3200368744188
2,DZ-3NF,46.2848721082622,153.84894595737364,200.13381806563584
